transaction_id,account_id,transaction_date,transaction_type,amount,currency,error_reason
T1003,,2026-09-06,CREDIT,250.0,USD,account_id is missing; 
T1004,A1004,2026-09-06,TRANSFER,100.0,USD,invalid transaction_type; 
T1005,A1005,2026-09-06,DEBIT,75.0,USD,duplicate transaction_id; 
T1006,A1006,2026-09-06,CREDIT,-50.0,USD,amount must be greater than 0; 
T1008,A1008,2026/09/06,CREDIT,300.0,USD,invalid transaction_date; 
T2002,A2002,2026-09-06,DEBIT,,USD,amount is missing or not numeric; 
T2003,A2003,2026-09-06,DEBIT,0.0,USD,amount must be greater than 0; 
T2004,A2004,2026-09-06,CREDIT,150.0,EUR,currency must be USD; 
T1005,A1005,2026-09-06,DEBIT,75.0,USD,duplicate transaction_id; 
T2008,,2026-09-06,PIZZA,80.0,USD,account_id is missing; invalid transaction_type; 
T3003,A3003,2026-09-06,CASHOUT,90.0,USD,invalid transaction_type; 
,A3005,2026-09-06,DEBIT,45.0,USD,transaction_id is missing; 
T3006,A3006,2026-09-06,CREDIT,175.0,GBP,currency must be USD; 
T3008,A3008,2026-13-06,CREDIT,500.0,USD,invalid transaction_date; 
